condition_name,exp_selected_item_name,selected_LANDLINE_ONLY,availablity_addon_LANDLINE_ONLY,selected_EVENING_WEEKEND,selected_ANYTIME_LANDLINE_MOBILE,selected_INTERNATIONAL_300,total_addon_cost_paid,exp_likelihoodToTake,demogAge,BB_current_provider,BB_current_plan,BB_current_contract_length,BB_usage_email,BB_usage_browsing,BB_usage_music_podcasts,BB_usage_TV_movies,BB_usage_video_calls,BB_usage_large_files,BB_usage_downloading_games,BB_usage_playing_games,VF_SEG_statements_1,VF_SEG_statements_2,VF_SEG_statements_3,MOB_current_mobile_provider,demogEducation,demogMaritalStatus,VF_SEG_living_arrangements,demogRegion,demogRural_urban,VF_current_landline_service,is_female,demogWorkStatus_2,demogHouseIncome_value_k,demogTotalHHSize,hh_num_under_18,has_children_under_18,is_mobile,BB_price_is_bundled,BB_current_spend_seperate_abs,BB_current_spend_bundled_abs,BB_current_time_with_provider_abs,MOB_current_mobile_plan_type_2,MOB_time_with_current_mobile_provider_abs,VF_SEGMENT,VF_current_landline_usage_bin,willing_to_wait_score
2) LL add-on at £1,1_Superfast_1,0,1,0,0,0,0,0,58,Sky,Fast Fibre Broadband (Up to 100Mb/s),I^m not in a contract / My contract has already expired,Every day,Never,Never,Never,Never,Never,Never,Never,1  Strongly    Agree ,1  Strongly    Agree ,3  Neutral ,EE,GCSE or equivalent,Single,I live with other members of my family.,West Midlands,City Suburb,Yes,1,Unemployed_homemaker_student_other,7.5,2,0,0,0,0,25,0,11,PAYG,11,Three generations in one home,0,3.8
5) Call bundles only,3_Superfast_100,0,0,0,1,0,8,7,47,EE,Fast Fibre Broadband (Up to 100Mb/s),My contract expires in over a years^ time,Every day,Every day,Every day,Every day,Occasionally,Rarely,Rarely,Rarely,1  Strongly    Agree ,3  Neutral ,5  Strongly  Agree ,O2,PhD,Married / Civil Partnership / Living as Married,I live with my / my partners children (under 18 years old).,South West England,Village,Yes,0,Full_time,27.5,4,2,1,0,0,30,0,5,PAYG,11,Sticker,1,3.6
4) LL add-on at £5,4_Pro_superfast_1,0,1,0,0,1,5,8,66,Sky,Fibre Broadband (Up to 52Mb/s),My contract expires in between 3-6 months,Every day,Every day,Most days,Occasionally,Occasionally,Occasionally,Never,Never,2  Agree ,3  Neutral ,2  Agree ,Tesco Mobile,Bachelor or first degree equivalent,Married / Civil Partnership / Living as Married,I live with my partner and we live alone.,South West England,Town,Yes,0,Retired,27.5,2,0,0,1,0,30,0,5.583333333,SIMO,4.5,Retired couples (>65yrs),1,4.4
4) LL add-on at £5,3_Superfast_100,1,1,0,0,0,5,7,72,Sky,Fibre Broadband (Up to 52Mb/s),My contract expires in between 6 months and a year,Most days,Every day,Occasionally,Most days,Occasionally,Rarely,Never,Never,4  Agree ,2  Agree ,3  Neutral ,Sky Mobile,GCSE or equivalent,Widowed / Divorced / Separated,I live alone.,Wales,City Suburb,Yes,1,Retired,17.5,1,0,0,1,1,0,26,10,PAYM,2,Retired singles (>65yrs),1,3.2
4) LL add-on at £5,1_Superfast_1,0,1,0,0,0,0,5,49,Plusnet,Fibre Broadband (Up to 52Mb/s),My contract expires in over a years^ time,Every day,Every day,Every day,Every day,Never,Occasionally,Occasionally,Occasionally,2  Agree ,4  Agree ,2  Agree ,EE,A-level or equivalent,Single,I live alone.,North West England,City Centre,Yes,0,Full_time,22.5,1,0,0,0,1,0,25,11,PAYG,11,Switcher,1,4.6
1) LL add-on at £0,7_Pro_ultrafast_200,0,1,1,0,0,5,7,42,BT,Standard broadband (Up to 17MB/s),My contract expires in between 3-6 months,Every day,Every day,Rarely,Rarely,Every day,Rarely,Most days,Every day,4  Agree ,3  Neutral ,3  Neutral ,Vodafone,Masters or other higher degree,Married / Civil Partnership / Living as Married,I live with my / my partners children (under 18 years old).,North West England,Village,Yes,1,Part_time,27.5,3,1,1,0,0,0,0,3.416666667,SIMO,5.416666667,Younger Family (children <=12yrs),1,3.6
0) Baseline,1_Superfast_1,0,0,0,0,0,0,3,74,BT,Standard broadband (Up to 17MB/s),My contract expires in over a years^ time,Every day,Every day,Occasionally,Never,Never,Rarely,Never,Never,1  Strongly    Agree ,3  Neutral ,3  Neutral ,I don't have a mobile phone,Bachelor or first degree equivalent,Married / Civil Partnership / Living as Married,I live with my partner and we live alone.,West Midlands,Town,Yes,1,Retired,27.5,2,0,0,0,0,30,0,2.333333333,None,0,Retired couples (>65yrs),1,3.4
4) LL add-on at £5,1_Superfast_1,0,1,0,0,0,0,1,69,Three,Standard broadband (Up to 17MB/s),My contract expires in between 6 months and a year,Most days,Most days,Never,Most days,Rarely,Never,Never,Never,1  Strongly    Agree ,3  Neutral ,3  Neutral ,3,GCSE or equivalent,Prefer not to say,I live alone.,North West England,City Suburb,No,1,Retired,27.5,1,0,0,0,0,14,0,0.583333333,SIMO,8.25,Retired singles (>65yrs),0,2.4
0) Baseline,1_Superfast_1,0,0,0,0,0,0,1,66,Plusnet,Standard broadband (Up to 17MB/s),My contract expires in between 3-6 months,Most days,Most days,Never,Never,Occasionally,Never,Never,Never,1  Strongly    Agree ,2  Agree ,5  Strongly  Agree ,giffgaff,Other,Single,I live alone.,North West England,Village,Yes,0,Full_time,17.5,1,0,0,0,1,0,19,3,PAYG,1,Sticker,1,3.8
3) LL add-on at £3,3_Superfast_100,0,1,0,0,0,0,6,72,TalkTalk,Fibre Broadband (Up to 52Mb/s),My contract expires in over a years^ time,Every day,Every day,Rarely,Rarely,Never,Rarely,Never,Never,1  Strongly    Agree ,3  Neutral ,5  Strongly  Agree ,ID,GCSE or equivalent,Married / Civil Partnership / Living as Married,I live with my partner and we live alone.,West Midlands,Rural,Yes,0,Retired,27.5,2,0,0,0,0,25,0,11,SIMO,3,Sticker,0,3.4
4) LL add-on at £5,4_Pro_superfast_1,1,1,0,0,0,5,8,72,Virgin Media,Fast Fibre Broadband (Up to 100Mb/s),I^m not in a contract / My contract has already expired,Most days,Every day,Rarely,Rarely,Occasionally,Occasionally,Rarely,Occasionally,4  Agree ,5  Strongly  Agree ,5  Strongly  Agree ,Sky Mobile,A-level or equivalent,Married / Civil Partnership / Living as Married,I live with my partner and we live alone.,West Midlands,City Suburb,Yes,1,Retired,27.5,2,0,0,0,1,0,58,11.83333333,SIMO,2.166666667,Retired couples (>65yrs),1,3.6
2) LL add-on at £1,8_Pro_ultrafast_500,0,1,0,0,1,5,5,51,BT,Ultrafast Fibre Broadband (Over 100Mb/s),My contract expires in between 3-6 months,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,1  Strongly    Agree ,5  Strongly  Agree ,5  Strongly  Agree ,Sky Mobile,Vocational certificate,Married / Civil Partnership / Living as Married,I live with other members of my family.,South West England,City Suburb,No,1,Unemployed_seeking,22.5,3,0,0,0,0,70,0,2.416666667,SIMO,8,Switcher,0,3.8
1) LL add-on at £0,8_Pro_ultrafast_500,0,1,1,0,0,5,0,69,Virgin Media,Fast Fibre Broadband (Up to 100Mb/s),I^m not in a contract / My contract has already expired,Every day,Every day,Never,Never,Occasionally,Rarely,Never,Never,2  Agree ,2  Agree ,4  Agree ,Vodafone,Other,Married / Civil Partnership / Living as Married,I live with my partner and we live alone.,Scotland,Town,Yes,0,Retired,22.5,2,0,0,0,1,0,85,11.91666667,PAYM,1,Retired couples (>65yrs),1,3.6
3) LL add-on at £3,2_Superfast_2,0,1,0,1,0,8,8,63,EE,Fibre Broadband (Up to 52Mb/s),My contract expires in over a years^ time,Every day,Every day,Occasionally,Every day,Never,Rarely,Never,Never,2  Agree ,3  Neutral ,4  Agree ,EE,A-level or equivalent,Single,I live with other members of my family.,Wales,City Suburb,Yes,0,Retired,17.5,2,0,0,0,0,32,0,0.416666667,PAYG,11,Sticker,1,3.6
3) LL add-on at £3,1_Superfast_1,0,1,0,0,0,0,6,69,Plusnet,Fibre Broadband (Up to 52Mb/s),My contract expires in over a years^ time,Most days,Every day,Rarely,Every day,Never,Occasionally,Never,Never,1  Strongly    Agree ,3  Neutral ,5  Strongly  Agree ,Other  ,Masters or other higher degree,Single,I live alone.,North West England,Village,Yes,0,Retired,62.5,1,0,0,1,0,23,0,3,SIMO,3,Sticker,0,1
1) LL add-on at £0,3_Superfast_100,0,1,0,1,0,8,5,70,Virgin Media,Fast Fibre Broadband (Up to 100Mb/s),My contract expires in over a years^ time,Every day,Every day,Rarely,Most days,Most days,Occasionally,Never,Never,3  Neutral ,1  Strongly    Agree ,3  Neutral ,EE,Bachelor or first degree equivalent,Single,I live alone.,Scotland,City Suburb,Yes,1,Retired,17.5,1,0,0,1,1,0,51,3.25,PAYG,10,Retired singles (>65yrs),1,3.6
2) LL add-on at £1,3_Superfast_100,0,1,0,0,0,0,3,66,Virgin Media,Fibre Broadband (Up to 52Mb/s),My contract expires in over a years^ time,Most days,Most days,Never,Never,Rarely,Rarely,Rarely,Most days,3  Neutral ,3  Neutral ,3  Neutral ,Vodafone,Vocational certificate,Widowed / Divorced / Separated,I live alone.,South West England,City Suburb,No,1,Part_time,12.5,1,0,0,1,0,24,0,8.333333333,PAYM,6.5,Retired singles (>65yrs),0,1.8
3) LL add-on at £3,8_Pro_ultrafast_500,0,1,0,0,0,0,10,56,Virgin Media,Ultrafast Fibre Broadband (Over 100Mb/s),My contract expires in over a years^ time,Every day,Every day,Occasionally,Rarely,Occasionally,Rarely,Rarely,Occasionally,3  Neutral ,2  Agree ,3  Neutral ,Vodafone,GCSE or equivalent,Married / Civil Partnership / Living as Married,I live with my partner and we live alone.,South East England,City Suburb,Yes,1,Unemployed_homemaker_student_other,22.5,2,0,0,1,1,0,69,11,PAYM,10.66666667,Empty nester couples (45-64yrs),0,3.6
2) LL add-on at £1,6_Pro_superfast_100,1,1,0,0,0,1,0,60,Vodafone,Fibre Broadband (Up to 52Mb/s),My contract expires in over a years^ time,Every day,Every day,Never,Never,Rarely,Occasionally,Never,Never,1  Strongly    Agree ,5  Strongly  Agree ,5  Strongly  Agree ,3,Vocational certificate,Married / Civil Partnership / Living as Married,I live with my partner and we live alone.,East Midlands,Village,Yes,0,Retired,37.5,2,0,0,0,0,22,0,0.666666667,SIMO,0.666666667,Switcher,1,4.2
0) Baseline,1_Superfast_1,0,0,0,0,0,0,0,66,TalkTalk,Fibre Broadband (Up to 52Mb/s),My contract expires in over a years^ time,Every day,Every day,Never,Never,Never,Never,Never,Never,1  Strongly    Agree ,5  Strongly  Agree ,5  Strongly  Agree ,EE,GCSE or equivalent,Widowed / Divorced / Separated,I live alone.,West Midlands,City Suburb,Yes,1,Retired,3.75,1,0,0,0,0,21,0,3.5,SIMO,3.5,Switcher,1,3.8
1) LL add-on at £0,2_Superfast_2,1,1,0,0,0,0,3,68,TalkTalk,Fast Fibre Broadband (Up to 100Mb/s),My contract expires in between 6 months and a year,Most days,Every day,Rarely,Occasionally,Never,Rarely,Rarely,Every day,1  Strongly    Agree ,2  Agree ,5  Strongly  Agree ,Other  ,GCSE or equivalent,Married / Civil Partnership / Living as Married,I live with my partner and we live alone.,South East England,Town,Yes,1,Retired,17.5,2,0,0,0,0,24,0,11,PAYG,11,Sticker,1,2.6
1) LL add-on at £0,7_Pro_ultrafast_200,1,1,0,0,0,0,0,61,Sky,Fibre Broadband (Up to 52Mb/s),My contract expires in between 6 months and a year,Every day,Every day,Never,Never,Never,Never,Never,Never,1  Strongly    Agree ,5  Strongly  Agree ,5  Strongly  Agree ,Sky Mobile,Vocational certificate,Widowed / Divorced / Separated,I live alone.,Yorkshire and the Humber,Village,Yes,0,Full_time,37.5,1,0,0,1,1,0,90,9.5,PAYM,0.5,Switcher,0,4
1) LL add-on at £0,1_Superfast_1,0,1,0,1,0,8,6,70,EE,Standard broadband (Up to 17MB/s),My contract expires in between 6 months and a year,Every day,Every day,Never,Every day,Occasionally,Rarely,Never,Never,1  Strongly    Agree ,5  Strongly  Agree ,3  Neutral ,Lebara,Bachelor or first degree equivalent,Married / Civil Partnership / Living as Married,I live with my partner and we live alone.,Wales,Rural,Yes,0,Full_time,27.5,2,0,0,0,0,26,0,1.5,PAYG,0.5,Switcher,1,3.6
4) LL add-on at £5,3_Superfast_100,0,1,0,0,0,0,6,67,EE,Fast Fibre Broadband (Up to 100Mb/s),My contract expires in over a years^ time,Every day,Every day,Most days,Most days,Rarely,Never,Never,Never,2  Agree ,3  Neutral ,5  Strongly  Agree ,EE,A-level or equivalent,Single,I live alone.,Scotland,City Suburb,Yes,0,Retired,12.5,1,0,0,0,0,28,0,11.91666667,PAYM,11.91666667,Sticker,1,3.6
4) LL add-on at £5,3_Superfast_100,0,1,0,1,0,8,5,51,KCOM,Fibre Broadband (Up to 52Mb/s),My contract expires in between 6 months and a year,Every day,Every day,Rarely,Rarely,Rarely,Most days,Never,Never,1  Strongly    Agree ,1  Strongly    Agree ,5  Strongly  Agree ,O2,Bachelor or first degree equivalent,Single,I live with other members of my family.,London,City Suburb,No,0,Full_time,37.5,3,0,0,0,0,36,0,5.916666667,PAYG,1.916666667,Sticker,0,3.4
5) Call bundles only,7_Pro_ultrafast_200,0,0,0,1,0,8,5,70,Sky,Standard broadband (Up to 17MB/s),My contract expires in over a years^ time,Every day,Every day,Occasionally,Occasionally,Rarely,Rarely,Never,Never,2  Agree ,5  Strongly  Agree ,5  Strongly  Agree ,EE,Vocational certificate,Married / Civil Partnership / Living as Married,I live with my partner and we live alone.,South West England,Town,Yes,1,Retired,27.5,2,0,0,1,0,17,0,3,SIMO,4.166666667,Switcher,1,3.8
5) Call bundles only,5_Pro_superfast_2,0,0,0,0,1,5,9,55,Virgin Media,Fast Fibre Broadband (Up to 100Mb/s),My contract expires in over a years^ time,Never,Occasionally,Occasionally,Most days,Never,Never,Never,Never,1  Strongly    Agree ,1  Strongly    Agree ,1  Strongly    Agree ,EE,GCSE or equivalent,Married / Civil Partnership / Living as Married,I live with my partner and we live alone.,North West England,Town,Yes,1,Full_time,27.5,2,0,0,1,1,0,56,11,PAYM,11,Empty nester couples (45-64yrs),0,3.2
0) Baseline,1_Superfast_1,0,0,0,0,0,0,5,71,Sky,Fibre Broadband (Up to 52Mb/s),My contract expires in between 6 months and a year,Every day,Every day,Rarely,Rarely,Never,Never,Never,Never,1  Strongly    Agree ,5  Strongly  Agree ,5  Strongly  Agree ,Tesco Mobile,GCSE or equivalent,Widowed / Divorced / Separated,I live alone.,West Midlands,City Suburb,Yes,0,Retired,17.5,1,0,0,0,1,0,73,6,PAYG,11,Switcher,1,3.4
3) LL add-on at £3,6_Pro_superfast_100,1,1,0,0,0,3,0,66,Virgin Media,Ultrafast Fibre Broadband (Over 100Mb/s),I^m not in a contract / My contract has already expired,Every day,Most days,Most days,Every day,Rarely,Rarely,Rarely,Every day,5  Strongly  Agree ,5  Strongly  Agree ,5  Strongly  Agree ,Tesco Mobile,GCSE or equivalent,Single,I live alone.,Scotland,City Suburb,Yes,0,Retired,3.75,1,0,0,0,1,0,72,11.91666667,PAYM,4.5,Retired singles (>65yrs),1,3.2
4) LL add-on at £5,9_Pro_gigafast_900,0,1,0,1,0,8,3,69,Virgin Media,Ultrafast Fibre Broadband (Over 100Mb/s),My contract expires in over a years^ time,Every day,Every day,Never,Never,Rarely,Never,Never,Never,1  Strongly    Agree ,2  Agree ,1  Strongly    Agree ,Virgin Mobile,Vocational certificate,Married / Civil Partnership / Living as Married,I live with my partner and we live alone.,London,Town,Yes,1,Retired,37.5,2,0,0,1,1,0,60,11,SIMO,11,Retired couples (>65yrs),1,1
4) LL add-on at £5,9_Pro_gigafast_900,0,1,0,1,0,8,5,50,Sky,Fast Fibre Broadband (Up to 100Mb/s),My contract expires in between 6 months and a year,Every day,Every day,Occasionally,Occasionally,Every day,Occasionally,Rarely,Rarely,2  Agree ,4  Agree ,2  Agree ,Tesco Mobile,Vocational certificate,Married / Civil Partnership / Living as Married,I live with other members of my family.,South East England,Village,Yes,0,Full_time,62.5,3,0,0,0,1,0,43,8,PAYM,4,Switcher,0,3.6
4) LL add-on at £5,8_Pro_ultrafast_500,0,1,0,1,0,8,8,52,Virgin Media,Fibre Broadband (Up to 52Mb/s),My contract expires in between 6 months and a year,Every day,Every day,Most days,Every day,Every day,Occasionally,Never,Rarely,2  Agree ,3  Neutral ,2  Agree ,EE,GCSE or equivalent,Married / Civil Partnership / Living as Married,I live with other members of my family.,South East England,Town,Yes,1,Unemployed_homemaker_student_other,1.25,3,0,0,1,1,0,80,4,PAYM,11,Sticker,1,3
0) Baseline,1_Superfast_1,0,0,0,0,0,0,10,45,TalkTalk,Fibre Broadband (Up to 52Mb/s),My contract expires in between 6 months and a year,Every day,Every day,Never,Never,Never,Rarely,Never,Occasionally,1  Strongly    Agree ,1  Strongly    Agree ,3  Neutral ,O2,GCSE or equivalent,Married / Civil Partnership / Living as Married,I live with my / my partners children (under 18 years old).,North East England,Rural,Yes,1,Unemployed_homemaker_student_other,12.5,3,1,1,1,0,22,0,8.5,PAYG,11,Younger Family (children <=12yrs),0,2.4
3) LL add-on at £3,1_Superfast_1,0,1,0,0,0,0,8,70,Shell Energy Broadband,Fast Fibre Broadband (Up to 100Mb/s),My contract expires in between 6 months and a year,Every day,Every day,Never,Most days,Occasionally,Rarely,Never,Never,1  Strongly    Agree ,2  Agree ,3  Neutral ,Virgin Mobile,Bachelor or first degree equivalent,Widowed / Divorced / Separated,I live alone.,South West England,Village,Yes,1,Retired,17.5,1,0,0,1,0,25,0,2.333333333,PAYM,11,Retired singles (>65yrs),1,3
0) Baseline,2_Superfast_2,0,0,0,0,0,0,2,64,Sky,Fibre Broadband (Up to 52Mb/s),My contract expires in between 6 months and a year,Every day,Every day,Occasionally,Occasionally,Occasionally,Never,Never,Never,2  Agree ,4  Agree ,2  Agree ,EE,GCSE or equivalent,Single,I live alone.,South East England,Town,Yes,1,Retired,22.5,1,0,0,0,1,0,103,11,SIMO,11,Switcher,1,3
0) Baseline,2_Superfast_2,0,0,0,0,0,0,5,60,BT,Fibre Broadband (Up to 52Mb/s),My contract expires in over a years^ time,Every day,Every day,Never,Every day,Never,Never,Never,Never,1  Strongly    Agree ,2  Agree ,4  Agree ,Tesco Mobile,Bachelor or first degree equivalent,Married / Civil Partnership / Living as Married,I live with my partner and we live alone.,Yorkshire and the Humber,Village,Yes,0,Retired,32.5,2,0,0,0,0,24,0,11,SIMO,11,Sticker,0,4.2
2) LL add-on at £1,6_Pro_superfast_100,0,1,0,1,0,8,6,55,Plusnet,Fibre Broadband (Up to 52Mb/s),My contract expires in between 6 months and a year,Every day,Every day,Never,Never,Never,Rarely,Rarely,Most days,2  Agree ,3  Neutral ,3  Neutral ,Tesco Mobile,GCSE or equivalent,Married / Civil Partnership / Living as Married,I live with my partner and we live alone.,South East England,Town,Yes,1,Unemployed_homemaker_student_other,27.5,2,0,0,0,1,0,35,1.333333333,SIMO,10.41666667,Sticker,1,3.2
1) LL add-on at £0,3_Superfast_100,0,1,0,0,0,0,5,51,Virgin Media,Ultrafast Fibre Broadband (Over 100Mb/s),My contract expires in over a years^ time,Every day,Occasionally,Never,Occasionally,Never,Never,Never,Never,1  Strongly    Agree ,1  Strongly    Agree ,1  Strongly    Agree ,O2,Vocational certificate,Married / Civil Partnership / Living as Married,I live with my partner and we live alone.,North East England,Village,Yes,0,Full_time,37.5,2,0,0,1,1,0,79,11,SIMO,11,Empty nester couples (45-64yrs),0,3.4
5) Call bundles only,7_Pro_ultrafast_200,0,0,1,0,0,5,7,60,Plusnet,Fibre Broadband (Up to 52Mb/s),My contract expires in between 6 months and a year,Most days,Every day,Occasionally,Every day,Most days,Occasionally,Rarely,Never,4  Agree ,4  Agree ,4  Agree ,giffgaff,Bachelor or first degree equivalent,Married / Civil Partnership / Living as Married,I live with my partner and we live alone.,Yorkshire and the Humber,City Suburb,No,0,Retired,27.5,2,0,0,1,0,23,0,3.25,PAYG,2.25,Empty nester couples (45-64yrs),0,4
5) Call bundles only,9_Pro_gigafast_900,0,0,0,1,0,8,8,39,Virgin Media,Fast Fibre Broadband (Up to 100Mb/s),I^m not in a contract / My contract has already expired,Occasionally,Every day,Occasionally,Occasionally,Rarely,Rarely,Occasionally,Every day,1  Strongly    Agree ,1  Strongly    Agree ,3  Neutral ,O2,GCSE or equivalent,Married / Civil Partnership / Living as Married,I live with my / my partners children (under 18 years old).,East Midlands,Town,No,1,Full_time,12.5,3,1,1,1,0,43,0,11,SIMO,11,Older Family (min. one child >=13yrs),0,3.4
1) LL add-on at £0,1_Superfast_1,0,1,0,0,0,0,4,54,BT,Fast Fibre Broadband (Up to 100Mb/s),I^m not in a contract / My contract has already expired,Every day,Every day,Occasionally,Every day,Rarely,Rarely,Occasionally,Every day,1  Strongly    Agree ,3  Neutral ,5  Strongly  Agree ,Tesco Mobile,Vocational certificate,Married / Civil Partnership / Living as Married,I live with other members of my family.,East Midlands,Town,Yes,1,Part_time,27.5,4,0,0,1,1,0,45,4.166666667,SIMO,5.166666667,Sticker,0,1
